Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 1, 'min_child_weight': 1, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195668       0.067562         5.195434        0.033067
1          5.083154       0.067959         5.082160        0.032811
2          4.979184       0.068269         4.977745        0.032512
3          4.883692       0.068358         4.881430        0.032354
4          4.795552       0.068486         4.792660        0.032229
5          4.714392       0.068921         4.710925        0.031987
6          4.639726       0.069475         4.635730        0.031945
7          4.570800       0.069763         4.566677        0.031593
8          4.508058       0.070061         4.503141        0.031434
9          4.450540       0.069703         4.445014        0.031430
10         4.397618       0.069875         4.391629        0.031323
11         4.349432       0.069893         4.342639        0.030999
12         4.305263       0.069725         4.297830        0.031146
13         4.265359       0.069643         4.256780        0.030977
14         4.228518       0.069703         4.219282        0.030687
15         4.195038       0.069670         4.184964        0.030682
16         4.164148       0.069378         4.153185        0.030849
17         4.135849       0.069207         4.124438        0.030570
18         4.110175       0.068589         4.097796        0.030468
19         4.086729       0.068226         4.073615        0.030509
20         4.065715       0.067730         4.051646        0.030598
21         4.045927       0.067456         4.031417        0.030410
22         4.027885       0.066881         4.012735        0.030777
23         4.011710       0.066739         3.995681        0.030758
24         3.996695       0.066212         3.980070        0.030822
25         3.982815       0.066037         3.965818        0.030862
26         3.970457       0.065792         3.952625        0.030915
27         3.958969       0.065858         3.940444        0.030681
28         3.948475       0.065414         3.929308        0.030844
29         3.938590       0.064921         3.919007        0.030859
..              ...            ...              ...             ...
131        3.787978       0.055180         3.726043        0.031094
132        3.787551       0.055232         3.725310        0.031130
133        3.787239       0.055036         3.724730        0.031193
134        3.787011       0.054939         3.724027        0.031360
135        3.786780       0.054918         3.723429        0.031336
136        3.786571       0.054820         3.722852        0.031330
137        3.786284       0.054746         3.722345        0.031288
138        3.786064       0.054611         3.721605        0.031396
139        3.785880       0.054698         3.721011        0.031419
140        3.785733       0.054795         3.720511        0.031389
141        3.785426       0.054891         3.719942        0.031223
142        3.785216       0.054876         3.719425        0.031186
143        3.784874       0.054926         3.718837        0.031090
144        3.784630       0.054770         3.718267        0.031120
145        3.784431       0.054791         3.717818        0.031050
146        3.784238       0.054934         3.717395        0.031070
147        3.783912       0.054961         3.716830        0.031116
148        3.783521       0.055022         3.716220        0.031056
149        3.783371       0.054904         3.715520        0.030961
150        3.783314       0.054949         3.715032        0.030939
151        3.783011       0.054933         3.714450        0.031030
152        3.782774       0.054799         3.713916        0.031051
153        3.782449       0.054732         3.713373        0.031001
154        3.782320       0.054564         3.712891        0.031043
155        3.782260       0.054557         3.712464        0.031013
156        3.782062       0.054420         3.711995        0.030934
157        3.781792       0.054428         3.711480        0.030920
158        3.781509       0.054437         3.710985        0.030938
159        3.781310       0.054551         3.710530        0.030911
160        3.781178       0.054484         3.710072        0.030878

[161 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 1, 'min_child_weight': 3, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195668       0.067562         5.195434        0.033067
1          5.083154       0.067959         5.082160        0.032811
2          4.979204       0.068273         4.977755        0.032510
3          4.883715       0.068363         4.881438        0.032352
4          4.795601       0.068496         4.792680        0.032225
5          4.714446       0.068932         4.710946        0.031982
6          4.639795       0.069489         4.635767        0.031936
7          4.570919       0.069789         4.566708        0.031585
8          4.508195       0.070091         4.503192        0.031420
9          4.450642       0.069726         4.445064        0.031416
10         4.397727       0.069901         4.391668        0.031312
11         4.349595       0.069845         4.342659        0.031033
12         4.305420       0.069674         4.297885        0.031172
13         4.265473       0.069577         4.256829        0.031005
14         4.228670       0.069638         4.219324        0.030754
15         4.195178       0.069596         4.185043        0.030740
16         4.164302       0.069286         4.153278        0.030942
17         4.136145       0.069023         4.124515        0.030692
18         4.110474       0.068403         4.097869        0.030591
19         4.087030       0.068037         4.073697        0.030641
20         4.066020       0.067539         4.051729        0.030734
21         4.046287       0.067326         4.031486        0.030579
22         4.028249       0.066754         4.012657        0.030742
23         4.012138       0.066674         3.995780        0.030917
24         3.997099       0.066142         3.980212        0.030919
25         3.983224       0.065967         3.965964        0.030959
26         3.970967       0.065774         3.952832        0.031009
